Title,Description,Link,Published Date,category,Website
AAAAAAH! Phsamophobia haunts consoles this month,"Phasmophobia was one of the chief reasons a lot of gamers lost so much sleep during the pandemic. Now it’s finally headed to consoles after four years of frightening the hell out of us.
Kinetic Games’ ghost hunting game is heading to PlayStation 5, PS VR2 and Xbox Series X/S on October 29. Players on consoles and PCs through Steam can explore haunted places together in online sessions and discover the highest octave their voices can hit. Kinetic announced the game’s console release last year but unforeseen delays forced the studio to push back the date.
Since the game is launching on consoles just before Halloween, Kinetic Games is also holding a special in-game event. Teams will receive a special Halloween goal in which all teams playing on all platforms will work together to “permanently unlock the Blood Moon weather.” The achievement comes with a special badge and trophy and more reasons to scream your head off in future matches.
Phasmophobia is an addictive and horrifying four-player exploration game that came to life on PCs in 2020. As part of a team of ghost hunters, you’re dispatched to a haunted location to investigate and determine what type of horrifying soul is dispatching the living to the realm of the dead. Each team member uses various pieces of ghost hunting equipment and ethereal artifacts to determine the type of spirit doing the haunting and other required criteria about the entity, capture evidence of its presence and sometimes even make contact with the entity.
These ghosts and otherworldly creatures don’t just make doors slam shut and yell “Boo!” before scurrying off into the shadows. There are 20 different types of entities like banshees, demons wraiths and revenants that can call out your name in the darkness, drive down your sanity and even kill your ghost hunter if you&#39;re not careful.This article originally appeared on Engadget at https://www.engadget.com/gaming/aaaaaah-phsamophobia-haunts-consoles-this-month-182546124.html?src=rss",https://www.engadget.com/gaming/aaaaaah-phsamophobia-haunts-consoles-this-month-182546124.html?src=rss,"Thu, 17 Oct 2024 18:25:46 +0000",Sports,www.engadget.com
"Remedy's new game is FBC: Firebreak, a co-op shooter in the Control universe","After a long and winding road, Remedy Entertainment has unveiled its multiplayer follow-up to Control. FBC: Firebreak is for teams of three, and the trios will face down waves of enemies with an intriguing arsenal of weapons. For instance, the trailer shows a gatling gun of gloopy poison and a gun with a launching piston attached to the front for aerial attacks.
Since FBC: Firebreak is set in the same world as Control (and Alan Wake II), there will be more for players to explore about this surreal place. The trailer showed off gunfights in the Federal Bureau of Control and the Oldest House, familiar settings to those who have played Control and its DLC. But with the different approach to gameplay, FBC: Firebreak isn't intended to be a direct sequel to the psychological hit game. ""I guess you could say that it’s a spin-off, but in the most positive sense of the word,"" Game Director Mike Kayatta said. ""It’s not designed to be some kind of lesser, bite-sized Control. FBC: Firebreak is its own, fully formed thing.""
A co-op project from the studio was first teased all the way back in 2021. Firebreak has clearly gone through some refinements from the original concept Remedy announced with 505 Games. At the time, it was also working on a free-to-play co-op shooter with the conglomerate Tencent, but the codenamed Project Vanguard was scrapped in 2023. The duo attempted to reenvision the game as a premium title, but that also fell by the wayside.
FBC: Firebreak is currently scheduled for release in 2025 and it will be on Game Pass at launch. It is expected to launch on Xbox Series X|S, PC and PlayStation 5.&nbsp;This article originally appeared on Engadget at https://www.engadget.com/gaming/remedys-new-game-is-fbc-firebreak-a-co-op-shooter-in-the-control-universe-180702570.html?src=rss",https://www.engadget.com/gaming/remedys-new-game-is-fbc-firebreak-a-co-op-shooter-in-the-control-universe-180702570.html?src=rss,"Thu, 17 Oct 2024 18:07:02 +0000",Technology,www.engadget.com
The Annapurna-published cycling adventure Ghost Bike is now Wheel World,"Ghost Bike is dead; long live Wheel World. The scenic cycling adventure from the creators of Nidhogg was revealed in 2023 with a darker storyline. After design pivots to “make it more fun to play” (always a good idea!), the new naming convention matches its lighter tone. Initially slated for this year, the Annapurna-published game will now arrive in early 2025.
Wheel World is developer Messhof’s first 3D game and its first with a big team. The studio made its bones with Nidhogg, a side-scrolling sword-fighting game with old-school Atari-style graphics. With Wheel World, the team shifts gears (sorry) to a gorgeous cel-shaded art style. Unlike Messhof’s previous titles, this one will have a narrative — with characters and dialog boxes!
Messhof explained its rebranding in a press release. “[Ghost Bike] was a game about dying on a bike after being hit by a car and ending up in a cycling valhalla,” Messhof’s Mak Essen and Kristy Norindr wrote. “While it wasn’t directly based on real world ghost bikes (those white bikes memorializing cyclists killed by drivers), there was enough overlap to feel like the name was justified and the associations would be a positive one from both directions. But as things changed in the gameplay (to make it more fun to play), and thus the story (especially in tone) it fit less and less.” Wheel World, it is.
Messhof / Annapurna
You play as Kat, a young cyclist determined to “save Wheel World from total collapse.” Its gameplay combines racing, bike upgrades, recovering stolen parts and ultimately performing “The Great Shift ritual” to save the world.
The trailer also showcases a roaming mode for times when you want a relaxing gaming experience. An original soundtrack from the electronic label Italians Do It Better helps you chill out while cruising the beautifully cel-shaded countryside.
When it arrives in early 2025, Wheel World will be on Game Pass on day one. In addition to the Xbox Series X/S, it will also be available on PS5 and PC.This article originally appeared on Engadget at https://www.engadget.com/gaming/the-annapurna-published-cycling-adventure-ghost-bike-is-now-wheel-world-173009766.html?src=rss",https://www.engadget.com/gaming/the-annapurna-published-cycling-adventure-ghost-bike-is-now-wheel-world-173009766.html?src=rss,"Thu, 17 Oct 2024 17:30:09 +0000",Sports,www.engadget.com
Amazon will stream an election night special with Brian Williams,"Amazon Prime Video will host a live election night special hosted by Brian Williams. The veteran newscaster will deliver “election results and analysis” starting at 5PM ET on November 5. Interestingly, this is a free special and doesn’t require a Prime membership. It’ll also be live streaming throughout the world, and not just America.
Williams will be joined by a bevy of contributors to discuss election returns and the whole thing is being directed by industry veteran Glenn Weiss. He’s directed a whole bunch of live events, from the Oscars to the Emmys and beyond.
Amazon doesn’t have a news division, so it’ll be pulling results and commentary from third-party sources across all political affiliations, according to The Hollywood Reporter. Williams said in a statement that he “will follow the storyline on election night wherever it leads us.”
Albert Cheng, VP and head of Prime Video, says this is a “one-night-only” event, but it’s not without precedent. Prime Video made its first Black Friday NFL game available to stream live, even to people who don’t subscribe to the service.
As for Williams, he hosted the NBC Nightly News broadcast for more than a decade. The newscaster stepped down after exaggerations were found in some of his reporting, particularly with regard to stories from Iraq and related to Hurricane Katrina.This article originally appeared on Engadget at https://www.engadget.com/entertainment/streaming/amazon-will-stream-an-election-night-special-with-brian-williams-172040097.html?src=rss",https://www.engadget.com/entertainment/streaming/amazon-will-stream-an-election-night-special-with-brian-williams-172040097.html?src=rss,"Thu, 17 Oct 2024 17:20:40 +0000",Daily News,www.engadget.com
The next Like A Dragon game recasts a series regular as an amnesiac pirate,"Update October 17, 1:17PM ET: Ryu Ga Gotoku Studio has dropped a new gameplay trailer that shows some naval combat in Like a Dragon: Pirate Yakuza in Hawaii. It shows off some melee action too, with Majima summoning sharks and large monkeys to help him in battle. You&#39;ll be able to try this ridiculous action earlier than expected, as the release date has moved up a week from February 28 to February 21.
Our original story follows below:
Ryu Ga Gotoku Studio simply cannot stop pumping out Like A Dragon (aka Yakuza) games. The studio and publisher Sega have revealed that the next entry will hit PS4, PS5, Xbox One, Xbox Series X/S and Steam on February 21, just 13 months after Like A Dragon: Infinite Wealth debuted. The latest spinoff has a typically kooky twist that’s not exactly kept secret by its title: Like a Dragon: Pirate Yakuza in Hawaii.
A seven-minute announcement trailer shown at the studio&#39;s RGG Summit features Goro Majima, a regular of the series, explaining what&#39;s been going on with him recently. About six months earlier, Majima washed up on an island near Hawaii with no memory of how he got there, only to be helped out by a child with a pet tiger cub. It didn&#39;t take long until Majima ran afoul of some pirates and swiftly became a pirate captain himself.
Pirate Yakuza in Hawaii takes place a year after the events of Infinite Wealth and Ichiban Kasuga&#39;s exploits in that game. You&#39;ll assemble your crew, upgrade your ship, engage enemy vessels and discover hidden islands. Majima will have two fighting styles that you can switch between on the fly. Opt for the Mad Dog option to vex enemies with &quot;speed, agility and flair,&quot; and then switch to Sea Dog to dual wield short swords and &quot;pirate tools,&quot; according to a press release. However you slice it, Pirate Yakuza in Hawaii already looks way more fun than the 45 minutes I spent playing Skull and Bones.
While February 21 isn&#39;t too far away in the grand scheme of things, there are plenty of other Like A Dragon-related things to help keep you occupied in the meantime. Like A Dragon: Yakuza, a live-action TV show based on the series, will debut on Prime Video on October 24. The franchise is also debuting on Nintendo Switch the same day with a port of Yakuza Kiwami, a remake of the first game.This article originally appeared on Engadget at https://www.engadget.com/gaming/the-next-like-a-dragon-game-recasts-a-series-regular-as-an-amnesiac-pirate-142935001.html?src=rss",https://www.engadget.com/gaming/the-next-like-a-dragon-game-recasts-a-series-regular-as-an-amnesiac-pirate-142935001.html?src=rss,"Thu, 17 Oct 2024 17:17:45 +0000",Daily News,www.engadget.com
Super Nintendo World Orlando opens next May,"The Super Nintendo World theme park in Orlando is nearly ready for visitors. Universal Orlando Resort just announced that the Mario-friendly attraction will open its doors on May 22, 2025. That gives you over six months to find the perfect Goomba costume to wear on opening day.
This is the third Nintendo theme park throughout the world, as the Orlando location joins pre-existing parks in Los Angeles and Japan. If the layout looks anything like the other two parks, you should expect a large interactive area to explore, special themed rides and, of course, all kinds of Nintendo-adjacent dining and shopping. The original Japanese park just got a nifty Donkey Kong Country area, but it remains to be seen if that’ll make the jump to the states.
This is part of a larger expansion of Universal Resort Orlando, called Universal Epic Universe. This includes five areas to explore. There’s the aforementioned Super Nintendo World, but this expansion will also host the pre-existing Harry Potter attraction.
The area will be home to a theme park based on the How to Train Your Dragon franchise and another based on the Dark Universe franchise. That last one is pretty odd to me, being as how the Dark Universe franchise peaked with a few middling horror films in the 2010s. Most of the planned films in this shared cinematic universe were scrapped after 2017’s The Mummy crashed and burned.&nbsp;
Finally, there’s Celestial Park. This looks to be a standard amusement park with a slight sci-fi bent. There are space-themed roller coasters and the like.This article originally appeared on Engadget at https://www.engadget.com/entertainment/super-nintendo-world-orlando-opens-next-may-164506895.html?src=rss",https://www.engadget.com/entertainment/super-nintendo-world-orlando-opens-next-may-164506895.html?src=rss,"Thu, 17 Oct 2024 16:45:06 +0000",Technology,www.engadget.com
Apple Pay now works with third-party iOS and desktop browsers,"Apple Pay debuted almost 10 years ago to the day, and Apple is marking the occasion by rolling out some features it revealed at WWDC. If you have iOS 18 or iPadOS 18 installed on your iPhone or iPad, you'll now be able to use the payment service on third-party browsers on those devices, as well as desktop computers. In the latter case, you'll be asked to scan a QR code with your iPhone or iPad to complete the payment. However, Apple says the feature is only available in select markets.
It'll be easier than ever to add supported cards to Apple Wallet on your iPhone. Thanks to the Tap to Provision feature, you can simply tap an eligible NFC-enabled card to the back of your phone, though you may have to enter the security code manually. Again, though, Tap to Provision isn't available everywhere.
Apple is now starting to support third-party buy now, pay later (BNPL) services in Apple Pay. This starts with the option to check out with Klarna in the US and UK. The company will add more installment payment options in the future, including Citi, Synchrony and eligible Apple Pay issuers via Fiserv in the US. Klarna will also be available as an option in Canada at a later date. Apple discontinued its own Pay Later option earlier this year
Meanwhile, US Apple Pay users can redeem rewards on eligible Discover credit cards at checkout. Support for rewards from other issuers and in more countries is on the way.This article originally appeared on Engadget at https://www.engadget.com/mobile/apple-pay-now-works-with-third-party-ios-and-desktop-browsers-163048055.html?src=rss",https://www.engadget.com/mobile/apple-pay-now-works-with-third-party-ios-and-desktop-browsers-163048055.html?src=rss,"Thu, 17 Oct 2024 16:30:48 +0000",Technology,www.engadget.com
2K Games wades into risky waters and announces a free-to-play hero shooter,"2K and developer 31st Union just unveiled Project: Ethos, a free-to-play 3rd-person hero shooter. It’s entering a crowded and fraught marketplace, but the publisher says this is an “exciting evolution” of the genre.
That evolution seems to take the form of some light roguelike mechanics. The playable characters evolve throughout each match, via semi-randomized upgrades unique to each hero. The publisher gives an example of evolving a sniper into a “close-range skirmisher” or a “support role into a powerful lone wolf.”
2K
The “abilities, stakes and challenges” change from match to match and players can eventually unlock powerful Augments to further enhance runs. It remains to be seen if these mechanics can set it apart from the pack, but you can find that out for yourself. There’s a community playtest going on right now.
Players can test out the game’s signature Trials mode, which is an “ongoing, persistent fight” or check out the Gauntlet. This is your standard head-to-head tournament mode, with teams and brackets.
This community playtest goes until October 20 in the US, Canada, Mexico and much of Europe. There is a fairly annoying hurdle to jump through to access the early build. You have to complete a Twitch Drop and stream 30 minutes of content from one of 2K’s partner creators. There’s no information yet regarding an actual release date for people who don’t want to sit through a 30-minute stream.This article originally appeared on Engadget at https://www.engadget.com/gaming/pc/2k-games-wades-into-risky-waters-and-announces-a-free-to-play-hero-shooter-160059725.html?src=rss",https://www.engadget.com/gaming/pc/2k-games-wades-into-risky-waters-and-announces-a-free-to-play-hero-shooter-160059725.html?src=rss,"Thu, 17 Oct 2024 16:00:59 +0000",Sports,www.engadget.com
Netflix's The Electric State trailer shows off cartoony robots and oversized VR headsets,"Netflix has released the first trailer for The Electric State, a post-apocalyptic road movie from Marvel (and Community) mainstays The Russo Brothers. The adaptation of Simon Stålenhag&#39;s 2018 graphic novel is set in a retro-futuristic version of the &#39;90s after a robot uprising. It tells the story of Michelle, an orphaned teenager (Millie Bobby Brown) who ventures across the west of the US to look for her younger brother with a smuggler (a mustachioed Chris Pratt) and a pair of robots.
The movie&#39;s look draws heavily from Stålenhag&#39;s gorgeous artwork, right down to the oversized VR helmets. The robots, in particular the one accompanying Michelle, have a cartoon-inspired aesthetic that wouldn&#39;t look out of place in Fallout. A large teddy bear robot can be seen as part of a parade of machines, while our heroes appear to face off against a massive one that looks a little like Sonic the Hedgehog.
Meanwhile, the whole &quot;slowed down iteration of a popular song in a movie trailer&quot; thing might have jumped the shark with the version of Oasis&#39; &quot;Champagne Supernova&quot; that plays over the top of this. It fits the &#39;90s setting, of course, but I couldn&#39;t help but laugh as soon as I recognized it.
The movie has a hell of a cast. Alongside Brown and Pratt, it stars Ke Huy Quan, Jason Alexander, Woody Harrelson, Anthony Mackie, Brian Cox, Jenny Slate, Giancarlo Esposito and Stanley Tucci. The Electric State hits Netflix on March 14.This article originally appeared on Engadget at https://www.engadget.com/entertainment/tv-movies/netflixs-the-electric-state-trailer-shows-off-cartoony-robots-and-oversized-vr-headsets-143628514.html?src=rss",https://www.engadget.com/entertainment/tv-movies/netflixs-the-electric-state-trailer-shows-off-cartoony-robots-and-oversized-vr-headsets-143628514.html?src=rss,"Thu, 17 Oct 2024 14:36:28 +0000",Technology,www.engadget.com
Google wants to put the consequences of its Epic antitrust ruling on pause during appeal,"Google has formally filed a motion [PDF] asking the 9th Circuit Court of Appeals to put a pause on the order that forces the company to open the Play store to competitors. If you&#39;ll recall, Google lost an antitrust lawsuit filed by Epic Games after a federal jury found that the company held an illegal monopoly on app distribution and in-app billing services for Android devices. Earlier this month, US District Judge James Donato ordered Google to allow third-party app stores access to the Google Play app catalog and to make those stores downloadable from its storefront. Now, Google is asking the court for a stay on that order while it&#39;s appealing the Epic antitrust lawsuit decision, saying that it will expose 100 million Android users in the US to &quot;substantial new security risks.&quot;
The company called the order &quot;harmful and unwarranted&quot; and said that if it&#39;s allowed to stand, it will threaten Google&#39;s ability to &quot;provide a safe and trusted used experience.&quot; It argued that if it makes third-party app stores available for download from Google Play, people might think that the company is vouching for them, which could raise &quot;real risks for [its] users.&quot; Those app stores could have &quot;less rigorous protections,&quot; Google explained, that could expose users to harmful and malicious apps.&nbsp;
It also said that giving third-party stores access to the Play catalog could harm businesses that don&#39;t want their products available alongside inappropriate or malicious content. Giving third-party stores access to its entire library could give &quot;bad-intentioned&quot; stores a &quot;veneer of legitimacy.&quot; Moreover, it argued that allowing developers to link out from their apps &quot;creates significant risk of deceptive links,&quot; since bad actors could use the feature for phishing attacks to compromise users&#39; devices and steal their data.&nbsp;
One of court&#39;s main proposed changes is to allow developers to remove Google Play billing as an option, allowing them to offer their apps to Android users without having to pay the company a commission. However, Google said that by allowing developers to remove its billing system, it could &quot;force an option that may not have the safeguards and features that users expect.&quot;&nbsp;
In its filing, Google emphasized that the three weeks the court gave it to make these sweeping changes is too short for a &quot;Herculean task.&quot; It creates an &quot;unacceptable risk of safety&quot; that could lead to major issues affecting the functionality of users&#39; Android devices, it said. The company also questioned why the court sided with Epic in its antitrust lawsuit, whereas it sided with Apple in a similar case also filed by the video game company. &quot;It is pause-inducing that Apple, which requires all apps go through its proprietary App Store, is not a monopolist, but Google — which built choice into the Android operating system so device makers can preinstall and users can download competing app stores — was condemned for monopolization.&quot;
Epic Games provided Engadget with the following statement: &quot;The jury’s verdict and the court’s injunction were clear: Google’s anticompetitive Play Store practices are illegal. Google is merely fear mongering and falsely using security as a pretext to delay the changes mandated by the court. This is Google’s last ditch effort to protect their control over Android and continue extracting exorbitant fees. The court’s injunction must go into effect swiftly so developers and consumers can benefit from competition in the mobile ecosystem.&quot;
Update, October 17 2024, 10:17AM ET:This story has been updated to include a response from Epic Games to Google&#39;s motion.This article originally appeared on Engadget at https://www.engadget.com/big-tech/google-wants-to-put-the-consequences-of-its-epic-antitrust-ruling-on-pause-during-appeal-020354621.html?src=rss",https://www.engadget.com/big-tech/google-wants-to-put-the-consequences-of-its-epic-antitrust-ruling-on-pause-during-appeal-020354621.html?src=rss,"Thu, 17 Oct 2024 14:18:01 +0000",Daily News,www.engadget.com
